event_id,event_date,policy_type,scope,description,source,version,note
MP-2014-001,2014-11-21,mp_rate_cut,broad,央行下调一年期贷款基准利率0.4个百分点至5.6%；下调一年期存款基准利率0.25个百分点至2.75%,中国人民银行,2
MP-2015-001,2015-02-28,mp_rate_cut,broad,央行下调一年期贷款基准利率0.25个百分点至5.35%；一年期存款基准利率0.25个百分点至2.5%,中国人民银行,2
MP-2015-002,2015-03-01,mp_rate_cut,broad,央行下调一年期贷款基准利率0.25个百分点至5.1%,中国人民银行,2
MP-2015-003,2015-04-19,mp_rrr_cut,broad,央行下调存款准备金率1个百分点,中国证券网,2
MP-2015-004,2015-06-27,mp_rrr_cut,broad,央行下调存款准备金率0.5个百分点（定向）,中国人民银行,2
MP-2015-005,2015-08-25,mp_rrr_cut,broad,央行下调存款准备金率0.5个百分点,中国人民银行,2
MP-2015-006,2015-10-23,mp_rate_cut,broad,央行下调一年期贷款基准利率0.25个百分点 同时下调存款准备金率0.5个百分点,中国人民银行,2,v2修正：该日为降息+降准组合，按POLICY_EVENTS.md归类为mp_rate_cut；v1保持预注册的mp_rrr_cut+broad，仅用于未来研究
MP-2017-001,2017-01-24,mp_lpr_cut,narrow,MLF利率上调10bp（未跟随加息）,中国人民银行,2
MP-2018-001,2018-04-17,mp_rrr_cut,broad,央行下调大型存款类金融机构存款准备金率1个百分点,中国证券网,2
MP-2018-002,2018-10-07,mp_rrr_cut,broad,央行下调存款准备金率1个百分点,中国人民银行,2
MP-2019-001,2019-01-04,mp_rrr_cut,broad,央行下调金融机构存款准备金率0.5个百分点,中国人民银行,2
MP-2019-002,2019-09-16,mp_rrr_cut,broad,央行下调金融机构存款准备金率0.5个百分点（全面+定向）,中国人民银行,2
MP-2020-001,2020-01-06,mp_rrr_cut,broad,央行下调金融机构存款准备金率0.5个百分点,中国人民银行,2
MP-2020-002,2020-03-13,mp_rrr_cut,broad,央行实施普惠金融定向降准0.5-1.5个百分点,中国人民银行,2
MP-2020-003,2020-04-15,mp_lpr_cut,narrow,1年期LPR下调20bp至3.85%,中国人民银行,2
MP-2021-001,2021-07-15,mp_rrr_cut,broad,央行下调金融机构存款准备金率0.5个百分点,中国人民银行,2
MP-2021-002,2021-12-15,mp_rrr_cut,broad,央行下调金融机构存款准备金率0.5个百分点,中国人民银行,2
MP-2022-001,2022-04-15,mp_rrr_cut,broad,央行下调金融机构存款准备金率0.25个百分点,中国人民银行,2
MP-2022-002,2022-11-25,mp_rrr_cut,broad,央行下调存款准备金率0.25个百分点（全面）,中国人民银行,2
MP-2023-001,2023-03-17,mp_rrr_cut,broad,央行下调金融机构存款准备金率0.25个百分点,中国人民银行,2
MP-2023-002,2023-09-14,mp_rrr_cut,broad,央行下调金融机构存款准备金率0.25个百分点,中国人民银行,2
MP-2024-001,2024-02-05,mp_lpr_cut,narrow,5年期以上LPR下调25bp至3.95%,中国人民银行,2
MP-2024-002,2024-09-27,mp_rrr_cut,broad,央行下调金融机构存款准备金率0.5个百分点,中国人民银行,2
MP-2024-003,2024-10-18,mp_lpr_cut,narrow,1年期LPR下调25bp至3.10%；5年期以上LPR下调25bp至3.60%,中国人民银行,2
TAX-2008-001,2008-09-19,tax_change,broad,印花税从双边征收改为单边征收（卖出方收取1‰）,财政部,2
TAX-2023-001,2023-08-27,tax_change,broad,证券交易印花税减半（从1‰降至0.5‰）,财政部,2
IPO-2012-001,2012-11-16,ipo_suspend,broad,证监会暂停IPO,证监会,2
IPO-2013-001,2013-12-30,ipo_resume,broad,证监会恢复IPO,证监会,2
IPO-2015-001,2015-07-04,ipo_suspend,broad,证监会暂停IPO,证监会,2
IPO-2015-002,2015-11-06,ipo_resume,broad,证监会重启IPO,证监会,2
IND-2014-001,2014-06-24,industry_plan,tech,《国家集成电路产业发展推进纲要》,国务院,2
IND-2015-001,2015-05-08,industry_plan,mfg,《中国制造2025》,国务院,2
IND-2017-001,2017-09-27,industry_plan,ev,双积分政策（新能源车）,工信部,2
IND-2020-001,2020-09-22,industry_plan,energy,3060双碳目标（2030碳达峰/2060碳中和）,习近平联合国大会,2
IND-2021-001,2021-03-11,industry_plan,broad,十四五规划通过,全国人大,2
